pcn_code,EMIS,EMIS (I),TPP,VISION,ICB
U46593,390,0,0,0,72Q
U46695,234,0,0,0,05Q
U46901,312,0,0,0,92A
U46976,312,0,0,0,12F
U47004,546,0,234,0,D9Y0V
U47184,234,0,78,0,14Y
U47223,0,0,546,0,15M
U47228,234,0,0,0,91Q
U47242,156,0,390,0,52R
U47425,312,0,0,0,11X
U47608,0,0,624,0,W2U3Z
U47609,234,0,0,0,15E
U47655,234,0,0,0,10Q
U47657,78,0,0,0,92A
U47812,468,0,0,0,A3A8R
U47851,0,0,455,0,52R
U47882,234,0,0,0,00R
U47946,312,0,78,0,A3A8R
U47975,0,0,390,0,26A
U48026,0,0,312,0,04C
U48056,390,0,0,0,97R
U48176,0,0,312,0,06Q
U48302,481,0,0,0,01H
U48502,546,0,0,0,00Q
U48538,312,0,0,0,15C
U48652,0,0,312,0,26A
U48691,0,0,156,0,06K
U48923,312,0,0,0,D2P2L
U49001,234,0,0,0,11N
U49070,312,0,0,0,01E
U49145,468,0,0,0,B2M3M
U49226,858,0,0,0,00V
U49304,390,0,0,0,15A
U49326,234,0,0,0,18C
U49525,468,0,0,0,00V
U49529,546,0,0,0,14L
U49536,78,0,78,0,70F
U49574,0,0,234,0,M1J4Y
U49615,0,0,390,0,06L
U49616,0,0,312,0,07K
U49727,468,0,0,0,99A
U49728,468,0,0,0,D2P2L
U49785,0,0,468,0,92G
U49851,0,0,546,0,36J
U49896,312,0,0,0,36L
U49929,0,0,312,0,99F
U49944,0,0,234,0,03N
U50083,234,0,0,0,18C
U50107,234,0,0,0,A3A8R
U50130,0,0,390,0,M1J4Y
U50165,156,0,78,0,03W
U50197,312,0,0,0,72Q
U50263,0,0,234,0,15F
U50277,468,0,0,0,72Q
U50311,390,0,0,0,93C
U50320,936,0,0,0,B2M3M
U50322,0,0,312,0,15N
U50573,156,0,0,0,01K
U50767,78,0,0,0,91Q
U50771,312,0,0,0,A3A8R
U50996,156,0,234,0,02T
U51050,234,0,0,0,W2U3Z
U51153,234,0,234,0,15E
U51200,0,0,234,0,52R
U51229,0,0,390,0,M1J4Y
U51307,546,0,78,0,A3A8R
U51357,312,0,0,0,92A
U51429,0,0,156,0,11J
U51488,78,0,156,0,06T
U51492,312,0,0,0,A3A8R
U51498,624,0,0,0,W2U3Z
U51577,234,0,0,0,93C
U51636,468,0,0,0,93C
U51667,0,0,312,0,04V
U51839,312,0,0,0,91Q
U51930,312,0,0,0,W2U3Z
U52026,468,0,0,0,M2L0M
U52075,0,0,312,0,42D
U52199,468,0,0,0,36L
