pcn_code,Cegedim,EMIS,TPP,Unknown,sub_ICB
U45528,0,1,0,0,15E
U45611,0,6,0,0,02G
U45670,0,0,3,0,03Q
U45703,0,0,7,0,W2U3Z
U45809,0,4,0,0,00R
U45842,0,4,0,0,36L
U45898,0,1,4,0,13T
U45943,0,4,0,0,36L
U45992,0,3,0,0,14L
U46071,0,0,2,0,00T
U46082,0,0,3,0,03Q
U46154,0,6,0,0,D9Y0V
U46190,0,0,4,0,15N
U46293,0,4,0,0,A3A8R
U46389,0,5,0,0,D9Y0V
U46417,0,1,4,0,06T
U46437,0,3,2,0,15E
U46447,0,1,2,0,09D
U46454,0,3,1,0,15E
U46464,0,0,3,0,M1J4Y
U46593,0,4,0,0,72Q
U46695,0,2,0,0,05Q
U46901,0,4,0,0,92A
U46976,0,4,0,0,12F
U47004,0,7,2,0,D9Y0V
U47184,0,3,1,0,14Y
U47223,0,0,7,0,15M
U47228,0,3,0,0,91Q
U47242,0,2,5,0,52R
U47425,0,4,0,0,11X
U47608,0,0,6,0,W2U3Z
U47609,0,3,0,0,15E
U47655,0,3,0,0,10Q
U47657,0,1,0,0,92A
U47812,0,6,0,0,A3A8R
U47851,0,0,5,0,52R
U47882,0,3,0,0,00R
U47946,0,4,1,0,A3A8R
U47975,0,0,5,0,26A
U48026,0,0,3,0,04C
U48056,0,3,0,0,97R
U48176,0,0,4,0,06Q
U48302,0,3,0,0,01H
U48502,0,7,0,0,00Q
U48538,0,4,0,0,15C
U48652,0,0,4,0,26A
U48691,0,0,2,0,06K
U48923,0,3,0,0,15E
U49001,0,3,0,0,11N
U49070,0,4,0,0,01E
U49145,0,6,0,0,B2M3M
U49226,0,8,0,0,00V
U49304,0,3,0,0,15A
U49525,0,7,0,0,00V
U49529,0,7,0,0,14L
U49536,0,0,2,0,70F
U49574,0,0,3,0,M1J4Y
U49615,0,0,5,0,06L
U49727,0,5,0,0,99A
U49728,0,6,0,0,D2P2L
U49785,0,0,3,0,92G
U49851,0,0,7,0,36J
U49896,0,5,0,0,36L
U49929,0,0,4,0,99F
U49944,0,0,3,0,03N
U50083,0,3,0,0,18C
U50107,0,3,0,0,A3A8R
U50165,0,2,0,0,03W
U50197,0,4,0,0,72Q
U50263,0,0,3,0,15F
U50277,0,6,0,0,72Q
U50311,0,5,0,0,93C
U50322,0,0,4,0,15N
U50573,0,2,0,0,01K
U50767,0,1,0,0,91Q
U50771,0,4,0,0,A3A8R
U50996,0,2,3,0,02T
U51050,0,3,0,0,W2U3Z
U51153,0,2,4,0,15E
U51200,0,0,3,0,52R
U51229,0,0,5,0,M1J4Y
U51307,0,7,1,0,A3A8R
U51357,0,4,0,0,92A
U51429,0,0,2,0,11J
U51488,0,1,2,0,06T
U51492,0,4,0,0,A3A8R
U51498,0,8,0,0,W2U3Z
U51577,0,3,0,0,93C
U51636,0,6,0,0,93C
U51667,0,0,4,0,04V
U51839,0,4,0,0,91Q
U51930,0,4,0,0,W2U3Z
U52026,0,6,0,0,M2L0M
U52075,0,0,4,0,42D
U52199,0,4,0,0,36L
U52219,0,1,5,0,03K
U52261,0,1,5,0,78H
U52297,0,7,0,0,00P
U52461,0,6,0,0,93C
U52468,0,3,0,0,06T
U52546,0,4,0,0,36L
U52641,0,3,0,0,A3A8R
U52694,0,0,4,0,70F
U52763,0,0,2,0,07K
U52802,0,0,2,0,71E
U52814,0,3,0,0,36L
U52868,0,4,0,0,97R
U52997,0,0,9,0,06L
U53179,0,0,4,0,11M
U53230,0,6,0,0,99A
U53279,0,0,4,0,02T
U53317,0,4,0,0,92A
U53419,0,0,3,0,78H
U53562,0,1,9,0,W2U3Z
U53612,0,3,0,0,06N
U53637,0,0,2,0,15M
U53775,0,1,0,0,14Y
U53896,0,9,0,0,72Q
U53900,0,6,0,0,01Y
U53962,0,0,5,0,84H
U53963,0,0,8,0,52R
U53997,0,0,3,0,D9Y0V
U53999,0,0,10,0,15M
U54007,0,5,0,0,93C
U54044,0,1,6,0,D2P2L
U54372,0,0,7,0,X2C4Y
U54453,0,4,0,0,A3A8R
U54554,0,3,0,0,15E
U54565,0,3,0,0,B2M3M
U54760,0,3,4,0,97R
U54764,0,0,5,0,04C
U54853,0,0,7,0,02X
U54911,0,10,0,0,99A
U54948,0,8,0,0,15E
U55014,0,2,2,0,09D
U55117,0,0,4,0,52R
U55146,0,0,9,0,99E
U55161,0,6,0,0,01D
U55369,0,0,3,0,06H
U55387,0,7,0,0,A3A8R
U55397,0,0,3,0,15N
U55399,0,3,0,0,15N
U55441,0,6,0,0,D2P2L
U55709,0,5,0,0,93C
U55717,0,0,5,0,W2U3Z
U55724,0,7,0,0,B2M3M
U55812,0,0,1,0,06K
U55830,0,0,7,0,16C
U55887,0,0,5,0,26A
U55939,0,14,0,0,A3A8R
U55979,0,0,7,0,92G
U56140,0,0,1,0,D9Y0V
U56215,0,1,4,0,71E
U56223,0,0,2,0,02Y
U56341,0,1,6,0,W2U3Z
U56562,0,0,1,0,03Q
U56575,0,4,0,0,D4U1Y
U56676,0,0,6,0,07H
U56681,0,3,0,0,A3A8R
U56729,0,8,0,0,05Q
U56757,0,3,0,0,91Q
U56857,0,4,0,0,01W
U56977,0,0,6,0,42D
U57009,0,0,4,0,42D
U57096,0,6,0,0,00X
U57294,0,3,0,0,D2P2L
U57300,0,2,0,0,92A
U57321,0,4,0,0,10Q
U57480,0,16,0,0,99A
U57586,0,7,0,0,W2U3Z
U57641,0,15,3,0,05D
U57786,0,4,0,0,01G
U57955,0,0,4,0,42D
U57981,0,0,4,0,70F
U58020,0,7,0,0,72Q
U58127,0,4,0,0,B2M3M
U58188,0,5,0,0,14L
U58215,0,2,2,0,07H
U58256,0,5,0,0,A3A8R
U58312,0,10,0,0,93C
U58435,0,0,7,0,71E
U58525,0,5,0,0,92A
U58538,0,7,0,0,93C
U58600,0,0,1,0,M1J4Y
U58673,0,0,3,0,78H
U58704,0,0,9,0,71E
U58708,0,2,0,0,15A
U58840,0,0,3,0,11J
U58973,0,1,4,0,06K
U59216,0,2,0,0,52R
U59367,0,0,1,0,06N
U59570,0,7,0,0,01K
U59591,0,0,2,0,M1J4Y
U59622,0,5,0,0,14Y
U59961,0,0,7,0,26A
U59980,0,3,0,0,01K
U60057,0,11,0,0,M2L0M
U60094,0,18,0,0,72Q
U60098,0,7,0,0,D2P2L
U60113,0,4,0,0,11N
U60176,0,0,5,0,X2C4Y
U60337,0,7,0,0,93C
U60450,0,6,0,0,W2U3Z
U60509,0,0,6,0,15M
U60510,0,10,0,0,01G
U60524,0,3,0,0,72Q
U60622,0,4,0,0,11X
U60757,0,0,3,0,70F
U60843,0,0,2,0,15M
U60845,0,4,0,0,D2P2L
U60865,0,4,0,0,A3A8R
U60916,0,2,0,0,10Q
U60978,0,5,0,0,15M
U61151,0,8,0,0,91Q
U61321,0,0,4,0,15M
U61347,0,0,6,0,92G
U61505,0,0,2,0,15F
U61868,0,7,0,0,00P
U61963,0,5,0,0,36L
U62043,0,0,4,0,11N
U62122,0,0,4,0,M1J4Y
U62148,0,3,0,0,M2L0M
U62213,0,12,0,0,B2M3M
U62251,0,3,0,0,10Q
U62360,0,0,7,0,W2U3Z
U62384,0,0,1,0,03F
U62485,0,2,2,0,26A
U62501,0,4,0,0,15A
U62545,0,0,4,0,92G
U62614,0,0,5,0,W2U3Z
U62853,0,0,5,0,03N
U62975,0,7,0,0,18C
U63047,0,3,0,0,93C
U63072,0,0,4,0,06H
U63129,0,1,4,0,52R
U63186,0,2,0,0,15A
U63233,0,2,0,0,D9Y0V
U63258,0,2,6,0,15M
U63386,0,1,0,0,14Y
U63454,0,5,0,0,02M
U63540,0,0,8,0,X2C4Y
U63565,0,0,5,0,11M
U63770,0,0,3,0,92G
U63843,0,8,0,0,15C
U63844,0,0,4,0,16C
U63948,0,0,5,0,04V
U64003,0,4,0,0,M2L0M
U64053,0,0,5,0,11N
U64148,0,2,0,0,05Q
U64165,0,0,3,0,M1J4Y
U64175,0,1,4,0,02Y
U64356,0,0,4,0,M1J4Y
U64426,0,0,5,0,04C
U64436,0,2,0,0,00R
U64487,0,7,0,0,01D
U64531,0,0,4,0,15N
U64597,0,8,0,0,01W
U64639,0,21,0,0,99A
U64705,0,0,4,0,06L
U64748,0,0,4,0,11J
U64827,0,0,1,0,02Y
U64938,0,0,4,0,03N
U65039,0,0,1,0,15E
U65044,0,0,4,0,36J
U65095,0,0,7,0,52R
U65132,0,10,0,0,D2P2L
U65207,0,2,0,0,15C
U65316,1,12,0,0,00T
U65434,0,5,0,0,72Q
U65471,0,6,1,0,A3A8R
U65562,0,1,0,0,18C
U65582,0,7,0,0,99A
U65853,0,6,0,0,14L
U65941,0,1,5,0,06H
U65968,0,9,0,0,15E
U66005,0,3,0,0,18C
U66012,0,0,1,0,03Q
U66020,0,6,0,0,27D
U66146,0,7,0,0,D2P2L
U66218,0,0,7,0,42D
U66269,0,0,3,0,92G
U66344,0,1,0,0,06T
U66368,0,4,0,0,02A
U66484,0,5,0,0,D2P2L
U66596,0,3,0,0,15C
U66620,0,6,0,0,36L
U66688,0,3,0,0,01H
U66785,0,0,6,0,15N
U66858,0,0,7,0,X2C4Y
U66904,0,0,4,0,06H
U67032,0,7,0,0,D4U1Y
U67045,0,6,0,0,91Q
U67110,0,7,0,0,72Q
U67133,0,4,0,0,91Q
U67149,0,8,0,0,01X
U67183,0,5,0,0,02G
U67243,0,0,3,0,15F
U67303,0,1,0,0,01H
U67304,0,3,0,0,92A
